occupation,courses_list
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Lead Front End Developer at SocialCentiv,"['Advanced Web Development', 'Clarinet Performance', 'Computer Science I, II, III', 'Database Concepts', 'Human Factors in Technology', 'Java Programming I', 'Java Programming II', 'Management Information Systems', 'Network and Telecommunications Concepts', 'Programming Concepts']"
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Lead Front End Developer at SocialCentiv,"['Advanced Web Development', 'Clarinet Performance', 'Computer Science I, II, III', 'Database Concepts', 'Human Factors in Technology', 'Java Programming I', 'Java Programming II', 'Management Information Systems', 'Network and Telecommunications Concepts', 'Programming Concepts']"
Front End Web Developer at Lepistina LLC,"['AngularJs', 'Computer Science 101', 'HTML and CSS', 'JavaScript', 'jQuery']"
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Lead Front End Developer at SocialCentiv,"['Advanced Web Development', 'Clarinet Performance', 'Computer Science I, II, III', 'Database Concepts', 'Human Factors in Technology', 'Java Programming I', 'Java Programming II', 'Management Information Systems', 'Network and Telecommunications Concepts', 'Programming Concepts']"
Front End Web Developer at Lepistina LLC,"['AngularJs', 'Computer Science 101', 'HTML and CSS', 'JavaScript', 'jQuery']"
Front-End Engineer,"['Dev Bootcamp', 'Intro to Database Systems']"
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Lead Front End Developer at SocialCentiv,"['Advanced Web Development', 'Clarinet Performance', 'Computer Science I, II, III', 'Database Concepts', 'Human Factors in Technology', 'Java Programming I', 'Java Programming II', 'Management Information Systems', 'Network and Telecommunications Concepts', 'Programming Concepts']"
Front End Web Developer at Lepistina LLC,"['AngularJs', 'Computer Science 101', 'HTML and CSS', 'JavaScript', 'jQuery']"
Front-End Engineer,"['Dev Bootcamp', 'Intro to Database Systems']"
Front End Developer / Full Stack JavaScript Developer,"['MongoDB for Node.js Developers', 'Programming with C#']"
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Lead Front End Developer at SocialCentiv,"['Advanced Web Development', 'Clarinet Performance', 'Computer Science I, II, III', 'Database Concepts', 'Human Factors in Technology', 'Java Programming I', 'Java Programming II', 'Management Information Systems', 'Network and Telecommunications Concepts', 'Programming Concepts']"
Front End Web Developer at Lepistina LLC,"['AngularJs', 'Computer Science 101', 'HTML and CSS', 'JavaScript', 'jQuery']"
Front-End Engineer,"['Dev Bootcamp', 'Intro to Database Systems']"
Front End Developer / Full Stack JavaScript Developer,"['MongoDB for Node.js Developers', 'Programming with C#']"
Senior Front End Developer,"['AWS : reInvent 2014 : Architecting High Available applications on AWS', 'Linux Academy: AWS Solutions Architect', 'MongoDB University: MongoDB for Node.js Developers']"
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Lead Front End Developer at SocialCentiv,"['Advanced Web Development', 'Clarinet Performance', 'Computer Science I, II, III', 'Database Concepts', 'Human Factors in Technology', 'Java Programming I', 'Java Programming II', 'Management Information Systems', 'Network and Telecommunications Concepts', 'Programming Concepts']"
Front End Web Developer at Lepistina LLC,"['AngularJs', 'Computer Science 101', 'HTML and CSS', 'JavaScript', 'jQuery']"
Front-End Engineer,"['Dev Bootcamp', 'Intro to Database Systems']"
Front End Developer / Full Stack JavaScript Developer,"['MongoDB for Node.js Developers', 'Programming with C#']"
Senior Front End Developer,"['AWS : reInvent 2014 : Architecting High Available applications on AWS', 'Linux Academy: AWS Solutions Architect', 'MongoDB University: MongoDB for Node.js Developers']"
Front end dev,"['Advanced Internet Programming and Design', 'Computer Network', 'Data Mining and Business Intelligence', 'Data Modeling and Implementation Techniques', 'Data Structures', 'Design Drawing', 'Film and Digital Photography', 'Java and Internet Applications', 'Mobile Applications on android Platform', 'Operating System']"
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Lead Front End Developer at SocialCentiv,"['Advanced Web Development', 'Clarinet Performance', 'Computer Science I, II, III', 'Database Concepts', 'Human Factors in Technology', 'Java Programming I', 'Java Programming II', 'Management Information Systems', 'Network and Telecommunications Concepts', 'Programming Concepts']"
Front End Web Developer at Lepistina LLC,"['AngularJs', 'Computer Science 101', 'HTML and CSS', 'JavaScript', 'jQuery']"
Front-End Engineer,"['Dev Bootcamp', 'Intro to Database Systems']"
Front End Developer / Full Stack JavaScript Developer,"['MongoDB for Node.js Developers', 'Programming with C#']"
Senior Front End Developer,"['AWS : reInvent 2014 : Architecting High Available applications on AWS', 'Linux Academy: AWS Solutions Architect', 'MongoDB University: MongoDB for Node.js Developers']"
Front end dev,"['Advanced Internet Programming and Design', 'Computer Network', 'Data Mining and Business Intelligence', 'Data Modeling and Implementation Techniques', 'Data Structures', 'Design Drawing', 'Film and Digital Photography', 'Java and Internet Applications', 'Mobile Applications on android Platform', 'Operating System']"
"Senior Manager, Software Engineering (UI) at LinkedIn","['0 to Rails 3 (@ Engine Yard)', 'Certified ScrumMaster Course', 'Omniture Site Catalyst Advanced Implementation Training']"
Front-End Web Developer at Apttus,"['Advanced Dreamweaver', 'Advanced Flash Design', 'Advanced Illustrator', 'Advanced Photoshop', 'Advanced Web Design', 'Advanced Web Design', 'Beginning / Intermediate Flash Programming', 'Beginning Illustrator', 'Intermediate Illustrator', 'Media & TV Broadcasting']"
Lead Front End Developer at SocialCentiv,"['Advanced Web Development', 'Clarinet Performance', 'Computer Science I, II, III', 'Database Concepts', 'Human Factors in Technology', 'Java Programming I', 'Java Programming II', 'Management Information Systems', 'Network and Telecommunications Concepts', 'Programming Concepts']"
Front End Web Developer at Lepistina LLC,"['AngularJs', 'Computer Science 101', 'HTML and CSS', 'JavaScript', 'jQuery']"
Front-End Engineer,"['Dev Bootcamp', 'Intro to Database Systems']"
Front End Developer / Full Stack JavaScript Developer,"['MongoDB for Node.js Developers', 'Programming with C#']"
Senior Front End Developer,"['AWS : reInvent 2014 : Architecting High Available applications on AWS', 'Linux Academy: AWS Solutions Architect', 'MongoDB University: MongoDB for Node.js Developers']"
