occupation,courses_list
"Front-End Developer at Netrix, LLC","['Assembling Sass', 'Assembling Sass', 'CSS Cross-Country', 'ES2015: The Shape of JavaScript to Come', 'JavaScript Best Practices', 'JavaScript Road Trip', 'JavaScript Road Trip', 'JavaScript Road Trip', 'JavaScript: Understanding the Weird Parts', 'Shaping up with Angular.js']"
"Front-End Developer at Netrix, LLC","['Assembling Sass', 'Assembling Sass', 'CSS Cross-Country', 'ES2015: The Shape of JavaScript to Come', 'JavaScript Best Practices', 'JavaScript Road Trip', 'JavaScript Road Trip', 'JavaScript Road Trip', 'JavaScript: Understanding the Weird Parts', 'Shaping up with Angular.js']"
Currently Interviewing - Front-End Developer and Graphic Designer,"['2D Visual Fundementals', '3D Design', '3D Visual Fundementals', 'Computers, Computer Science, and Society', 'Design History and Cultural Context', 'Design, Perception, and Audience', 'Digital Design', 'Drawing 1', 'Drawing 2', 'Drawing 3']"
