courses_list,occupation
"['Cloud Computing', 'Computer Vision', 'Distributed System', 'Fundamentals of Software', 'How to Write Fastcode', 'Introduction to Computer Systems', 'J2EE Web Development', 'Microcomputer System Theory and Embedded System Design', 'Principles of Software Construction: Objects, Design and Concurrency', 'Service Oriented Computing']",Google - SWE
"['Advance Storage System', 'Cloud Computing', 'Distributed system', 'Fundamental of Embedded Systems', 'Introduction to Computer Systems', 'Introduction to Telecommunications', 'Managerial Economics', 'Web application development']",Senior Software Engineer at Google
"['Advanced Algorithm Analysis and Design', 'Advanced Objected-Oriented Programming and Design', 'Biomedical Electornics', 'Biomedical Image Processing', 'Biomedical Signal Processing', 'Compiler Construction', 'Data Structure', 'High Perform Computer Architecture', 'Introduction to C programming', 'Introduction to Database Systems']",Software Engineer II at Google
"['Big Data Programming', 'Computer Architecture', 'Data Structure and Programming', 'Dependable Computing Systems', 'Natural Language Processing', 'Numerical Anaylsis: Linear Algebra', 'Operating Systems', 'Parallel Algorithms', 'Robot Learning from Demonstration and Interaction', 'The Design and Analysis of Algorithms']",Software Engineer at Uber
"['Applied Combinatorics', 'Computer Organization & Programming', 'Data Structure & Algorithms', 'Design & Analysis Algorithms', 'Design Operating System', 'Discrete Math', 'Engineering Linear Optimization', 'Introduction to Artificial Intelligence', 'Introduction to Database Systems', 'Introduction to Graph Theory']",Front End Developer at Oath
"['Advanced Algorithm Design & Implement', 'Database Management Systems I', 'Database Management Systems II', 'Enterprise Software Architecture and Design', 'Knowledge Discovery and Data Mining', 'Object-Oriented Analysis and Design Theory', 'Web Analytics', 'Web Programming']",Software Engineer at Capital One
"['Artificial Intelligence', 'Computer Architecture', 'Data Structure and Algorithm', 'Design and Analysis of Algorithm', 'Foundation of Computer Science', 'Mobile Application Programming', 'Principle of Database Design', 'Programming for big data analytics']",Software Engineer at Amazon Web Services
"['Cloud Computing', 'Data Structure', 'Distributed System', 'Introduction to Computer System', 'J2EE Web Application', 'Software Engineering']",Actively seeking for full time SE position
"['Algorithm', 'Broadband network', 'Database System', 'Introduction of Computer Network', 'Introduction to Programming System Design', 'Probability for electrical and computer engineer', 'Simulation methods for stochastic system', 'Wireless Network']",Student at USC
"['Advanced Digital Signal Processing', 'Convex Optimization', 'Data Structures', 'Design and Analysis of Algorithms', 'Detection and Estimation', 'Introduction to Computer Vision', 'Machine Learning', 'Medical Image Reconstruction', 'Mining Massive Data sets', 'Mobile Computer Vision']",Software Engineer at Facebook
"['Artificial Intelligence', 'Control Systems', 'Data Structure and Programming', 'Digital Image Synthesis', 'Digital Visual Effect', 'Introduction to Computer Networks', 'Machine Learning', 'Machine Learning and Having It Deep and Structured', 'Multimedia Signal Processing', 'Network and Multimedia Lab']",MS in EE at NTU
"['BUSINESS & PROFESSIONAL COMMUNICATION', 'BUSINESS WRITING', 'BUYER BEHAVIOR', 'LEGAL ENVIRON/BUSINESS', 'MACRO ECONOMIC ANALYSIS', 'MANAGING ORGANIZATIONS', 'MARKETING RESEARCH', 'PRINC OF FINANCIAL ACCOUNTING']",MBA @ Technical recruiter @help CV/NLP/ML/AI/Automatic Drive/Java/ Cloud and other IT friends get great job opinions.
