occupation,courses_list
Data Science Engineer at OpenTable,"['Analysis and design of Algorithms', 'Compiler Design', 'Computer Graphics', 'Current Topics in System Design', 'Current topics in Bioinformatics', 'Data Structures', 'Database Systems', 'Future of Story Telling', 'Graph Theory', 'Graphs and Network Flows']"
Data Science Engineer at OpenTable,"['Analysis and design of Algorithms', 'Compiler Design', 'Computer Graphics', 'Current Topics in System Design', 'Current topics in Bioinformatics', 'Data Structures', 'Database Systems', 'Future of Story Telling', 'Graph Theory', 'Graphs and Network Flows']"
Data Science Analyst with Master's Degree in Statistics,"['Advanced Data Analysis', 'Applied Date Science', 'Data Mining', 'Machine Learning']"
Data Science Engineer at OpenTable,"['Analysis and design of Algorithms', 'Compiler Design', 'Computer Graphics', 'Current Topics in System Design', 'Current topics in Bioinformatics', 'Data Structures', 'Database Systems', 'Future of Story Telling', 'Graph Theory', 'Graphs and Network Flows']"
Data Science Analyst with Master's Degree in Statistics,"['Advanced Data Analysis', 'Applied Date Science', 'Data Mining', 'Machine Learning']"
Director of Data Science,"['Applied Statistics (Prof. Richard Dudley)', 'Comparative Media Studies (Prof. William Uricchio)', 'Democratization in Asia, Africa, & Latin America (Prof. Chap Lawson)', 'Differential Equations (Prof. Haynes Miller)', 'Electro-Magnetism (Prof. Hale Bradt)', 'Industrial Organization & Public Policy (Prof. Nancy Rose)', 'Linear Algebra (Prof. Gilbert Strang)', 'Managerial Psychology (Prof. Dan Ariely)', 'Market Response Modeling', 'Mathematical Logic & Set Theory (Prof. Gerald Sacks)']"
Data Science Engineer at OpenTable,"['Analysis and design of Algorithms', 'Compiler Design', 'Computer Graphics', 'Current Topics in System Design', 'Current topics in Bioinformatics', 'Data Structures', 'Database Systems', 'Future of Story Telling', 'Graph Theory', 'Graphs and Network Flows']"
Data Science Analyst with Master's Degree in Statistics,"['Advanced Data Analysis', 'Applied Date Science', 'Data Mining', 'Machine Learning']"
Director of Data Science,"['Applied Statistics (Prof. Richard Dudley)', 'Comparative Media Studies (Prof. William Uricchio)', 'Democratization in Asia, Africa, & Latin America (Prof. Chap Lawson)', 'Differential Equations (Prof. Haynes Miller)', 'Electro-Magnetism (Prof. Hale Bradt)', 'Industrial Organization & Public Policy (Prof. Nancy Rose)', 'Linear Algebra (Prof. Gilbert Strang)', 'Managerial Psychology (Prof. Dan Ariely)', 'Market Response Modeling', 'Mathematical Logic & Set Theory (Prof. Gerald Sacks)']"
Actively Seeking Full-Time Data Science Positions | University of Michigan Graduate Student,"['Applied Business Analytics and Decisions', 'Applied Mathematics I, II, III', 'Artificial Intelligence', 'Basic Electrical & Electronics Engineering', 'Big Data Analytics', 'Computational Mathematics', 'Computer Graphics & Virtual Reality Systems', 'Computer Networks', 'Computer Programming - C++ & Java', 'Contextual Inquiry and Consulting Foundations']"
Data Science Engineer at OpenTable,"['Analysis and design of Algorithms', 'Compiler Design', 'Computer Graphics', 'Current Topics in System Design', 'Current topics in Bioinformatics', 'Data Structures', 'Database Systems', 'Future of Story Telling', 'Graph Theory', 'Graphs and Network Flows']"
Data Science Analyst with Master's Degree in Statistics,"['Advanced Data Analysis', 'Applied Date Science', 'Data Mining', 'Machine Learning']"
Director of Data Science,"['Applied Statistics (Prof. Richard Dudley)', 'Comparative Media Studies (Prof. William Uricchio)', 'Democratization in Asia, Africa, & Latin America (Prof. Chap Lawson)', 'Differential Equations (Prof. Haynes Miller)', 'Electro-Magnetism (Prof. Hale Bradt)', 'Industrial Organization & Public Policy (Prof. Nancy Rose)', 'Linear Algebra (Prof. Gilbert Strang)', 'Managerial Psychology (Prof. Dan Ariely)', 'Market Response Modeling', 'Mathematical Logic & Set Theory (Prof. Gerald Sacks)']"
Actively Seeking Full-Time Data Science Positions | University of Michigan Graduate Student,"['Applied Business Analytics and Decisions', 'Applied Mathematics I, II, III', 'Artificial Intelligence', 'Basic Electrical & Electronics Engineering', 'Big Data Analytics', 'Computational Mathematics', 'Computer Graphics & Virtual Reality Systems', 'Computer Networks', 'Computer Programming - C++ & Java', 'Contextual Inquiry and Consulting Foundations']"
Data Scientist at UBER,"['Advanced Econometrics', 'Advanced Macroeconomics', 'Advanced Microeconomics', 'C Programming Language', 'Chaotic Dynamical Systems', 'Complex Analysis', 'Corporate Finance', 'Data Statistics Analysis Method', 'Dynamic Optimization', 'Financial Computing']"
Data Science Engineer at OpenTable,"['Analysis and design of Algorithms', 'Compiler Design', 'Computer Graphics', 'Current Topics in System Design', 'Current topics in Bioinformatics', 'Data Structures', 'Database Systems', 'Future of Story Telling', 'Graph Theory', 'Graphs and Network Flows']"
Data Science Analyst with Master's Degree in Statistics,"['Advanced Data Analysis', 'Applied Date Science', 'Data Mining', 'Machine Learning']"
